Strophius fidelis Mello-Leitão, 1929 | Brazil
Strophius hirsutus O. Pickard-Cambridge, 1891 | Costa Rica, Panama
Strophius levyi Soares, 1943 | Brazil
Strophius mendax Mello-Leitão, 1929 | Brazil
Strophius nigricans Keyserling, 1880 | Trinidad, Peru, Brazil, Paraguay
Strophius signatus O. Pickard-Cambridge, 1892 | Mexico, Guatemala, Brazil
Synaemops nigridorsi Mello-Leitão, 1929 | Brazil
Synaemops notabilis Mello-Leitão, 1941 | Brazil
Synaemops pugilator Mello-Leitão, 1941 | Argentina
Synaemops rubropunctatus Mello-Leitão, 1929 | Brazil
Synema abrahami Mello-Leitão, 1948 | Guyana
Synema adjunctum O. Pickard-Cambridge, 1891 | Panama
Synema aequinoctiale (Taczanowski, 1872) | Mexico, French Guiana
Synema affinitatum O. Pickard-Cambridge, 1891 | Mexico to Brazil
Synema bariguiense Mello-Leitão, 1947 | Brazil
Synema bellum Soares, 1944 | Brazil
Synema bipunctatum (Taczanowski, 1872) | Brazil, French Guiana
Synema bishopi Caporiacco, 1955 | Venezuela, French Guiana
Synema fasciatum Mello-Leitão, 1929 | Brazil
Synema fiebrigi Dahl, 1907 | Paraguay
Synema fuscomandibulatum Petrunkevitch, 1925 | Panama
Synema glaucothorax Piza, 1934 | Brazil
Synema haemorrhoidale Dahl, 1907 | Paraguay
Synema haenschi Dahl, 1907 | Guatemala, Brazil
Synema illustre Keyserling, 1880 | Peru
Synema interjectivum Mello-Leitão, 1947 | Brazil
Synema lanceolatum Mello-Leitão, 1929 | Brazil
Synema latispinum Keyserling, 1883 | Peru
Synema lopezi Jiménez, 1988 | Mexico
Synema luridum Keyserling, 1880 | Peru
Synema luteovittatum Keyserling, 1891 | Brazil
Synema maculatovittatum Caporiacco, 1954 | French Guiana
Synema maculosum O. Pickard-Cambridge, 1891 | Central America
Synema madidum O. Pickard-Cambridge, 1895 | Mexico
Synema nigrianum Mello-Leitão, 1929 | Venezuela to Brazil
Synema nigrum Keyserling, 1880 | Peru
Synema nitidulum Simon, 1929 | Brazil
